experiment_type,split_seed,circuit_seed,final_train_acc,final_test_acc,generalization_gap,train_acc_std,test_acc_std,train_samples,test_samples,sparsity_l1,sparsity_binary,sparsity_entropy
sparse_l1_w0.001,42,100,0.9920731782913208,0.8063725829124451,0.18570059537887573,0.0021210378712341054,0.004334489426079637,205,51,41.25236511230469,29.352657318115234,95.15692138671875
sparse_l1_w0.001,42,200,0.9902439117431641,0.8357843160629272,0.15445959568023682,0.002123446773624571,0.004616368914210206,205,51,38.51908874511719,27.13665008544922,87.8290023803711
sparse_l1_w0.001,123,100,0.9878048896789551,0.8382353186607361,0.149569571018219,0.004474438160524156,0.00576891772869989,205,51,44.328033447265625,31.250267028808594,100.02450561523438
sparse_l1_w0.001,123,200,0.9853658676147461,0.8308823704719543,0.15448349714279175,0.00460143264640034,0.006432359982681874,205,51,41.6369514465332,29.474239349365234,95.64714050292969
sparse_l1_w0.001,42,100,0.9920731782913208,0.8063725829124451,0.18570059537887573,0.0021210378712341054,0.004334489426079637,205,51,41.25236511230469,29.352657318115234,95.15692138671875
sparse_l1_w0.001,42,200,0.9902439117431641,0.8357843160629272,0.15445959568023682,0.002123446773624571,0.004616368914210206,205,51,38.51908874511719,27.13665008544922,87.8290023803711
sparse_l1_w0.001,123,100,0.9878048896789551,0.8382353186607361,0.149569571018219,0.004474438160524156,0.00576891772869989,205,51,44.328033447265625,31.250267028808594,100.02450561523438
sparse_l1_w0.001,123,200,0.9853658676147461,0.8308823704719543,0.15448349714279175,0.00460143264640034,0.006432359982681874,205,51,41.6369514465332,29.474239349365234,95.64714050292969
sparse_l1_w0.01,42,100,0.9865853786468506,0.7843137383460999,0.20227164030075073,0.005906378230985111,0.0052050865590256064,205,51,42.03670120239258,28.923507690429688,90.51924896240234
sparse_l1_w0.01,42,200,0.9774390459060669,0.8137255311012268,0.1637135148048401,0.0054887526897228174,0.007270781392495077,205,51,43.311073303222656,29.38481330871582,91.72905731201172
sparse_l1_w0.01,123,100,0.9804878234863281,0.8700980544090271,0.11038976907730103,0.00497345117002682,0.00840064274233371,205,51,39.84592819213867,27.625560760498047,87.38560485839844
sparse_l1_w0.01,123,200,0.9817073345184326,0.8455882668495178,0.1361190676689148,0.006034674367945829,0.004578810361281313,205,51,36.115379333496094,25.380107879638672,82.32318878173828
sparse_binary_w0.001,42,100,0.9890244007110596,0.7843137383460999,0.20471066236495972,0.0019805324732776503,0.009989069102418938,205,51,45.53007507324219,31.706161499023438,100.69388580322266
sparse_binary_w0.001,42,200,0.9884146451950073,0.8357843160629272,0.15263032913208008,0.0016463398933410645,0.005088361800174439,205,51,38.570892333984375,27.3433780670166,88.94642639160156
sparse_binary_w0.001,123,100,0.9847561120986938,0.8137255311012268,0.17103058099746704,0.0031758546945285003,0.005567558837898415,205,51,43.319923400878906,30.205455780029297,96.48645782470703
sparse_binary_w0.001,123,200,0.9859756231307983,0.8210784792900085,0.1648971438407898,0.003999712676120793,0.007022816857685956,205,51,42.35365295410156,29.88479232788086,96.6190414428711
sparse_binary_w0.01,42,100,0.9792683124542236,0.8161764740943909,0.16309183835983276,0.005101233492384725,0.013127617997873304,205,51,41.72439956665039,28.503185272216797,90.11253356933594
sparse_binary_w0.01,42,200,0.9823170900344849,0.8308823704719543,0.15143471956253052,0.005574854183036308,0.004624499805461041,205,51,40.53601837158203,28.236835479736328,89.4723892211914
sparse_binary_w0.01,123,100,0.9774390459060669,0.8504902124404907,0.12694883346557617,0.006040221558295762,0.005907826829835634,205,51,40.30730056762695,27.62320899963379,87.13025665283203
sparse_binary_w0.01,123,200,0.9798780679702759,0.8529412150382996,0.12693685293197632,0.005919601590183311,0.008400639568603228,205,51,43.174652099609375,29.741737365722656,93.50852966308594
