pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15
0,0.0,0.364375,0.3635204081632653,0.3078271028037383,0.3787128712871287,0.3248762376237624,0.380859375,0.3465909090909091,0.37373737373737376,0.3354591836734694,0.3686868686868687,0.3217821782178218,0.37755102040816324,0.3552295918367347,0.3427835051546392,0.3671052631578947
1,0.364375,0.0,0.358125,0.3561197916666667,0.38762626262626265,0.37822164948453607,0.3860677083333333,0.39029255319148937,0.4114583333333333,0.3872422680412371,0.4003712871287129,0.3947704081632653,0.401875,0.36328125,0.38788659793814434,0.37898936170212766
2,0.3635204081632653,0.358125,0.0,0.3383838383838384,0.35125,0.3684210526315789,0.34681372549019607,0.40453296703296704,0.384375,0.327970297029703,0.34595959595959597,0.37875,0.392578125,0.3484848484848485,0.3405612244897959,0.3647959183673469
3,0.3078271028037383,0.3561197916666667,0.3383838383838384,0.0,0.3415841584158416,0.3067602040816326,0.3345959595959596,0.3217821782178218,0.3821614583333333,0.34375,0.34220297029702973,0.371875,0.36625,0.3440721649484536,0.37691326530612246,0.36223118279569894
4,0.3787128712871287,0.38762626262626265,0.35125,0.3415841584158416,0.0,0.3736979166666667,0.3635204081632653,0.354375,0.4008838383838384,0.35051546391752575,0.3853092783505155,0.39232673267326734,0.38625,0.34438775510204084,0.3828947368421053,0.34375
5,0.3248762376237624,0.37822164948453607,0.3684210526315789,0.3067602040816326,0.3736979166666667,0.0,0.3832070707070707,0.3409653465346535,0.3801546391752577,0.33375,0.3684895833333333,0.3484848484848485,0.369949494949495,0.343125,0.3712871287128713,0.36533505154639173
6,0.380859375,0.3860677083333333,0.34681372549019607,0.3345959595959596,0.3635204081632653,0.3832070707070707,0.0,0.35164141414141414,0.37685643564356436,0.37236842105263157,0.37004950495049505,0.38853092783505155,0.373046875,0.34119897959183676,0.38337628865979384,0.361328125
7,0.3465909090909091,0.39029255319148937,0.40453296703296704,0.3217821782178218,0.354375,0.3409653465346535,0.35164141414141414,0.0,0.365,0.3737244897959184,0.3769736842105263,0.37105263157894736,0.3848684210526316,0.34536082474226804,0.3958333333333333,0.3602941176470588
8,0.37373737373737376,0.4114583333333333,0.384375,0.3821614583333333,0.4008838383838384,0.3801546391752577,0.37685643564356436,0.365,0.0,0.3743556701030928,0.4100765306122449,0.39221938775510207,0.3704896907216495,0.3756443298969072,0.3903061224489796,0.37373737373737376
9,0.3354591836734694,0.3872422680412371,0.327970297029703,0.34375,0.35051546391752575,0.33375,0.37236842105263157,0.3737244897959184,0.3743556701030928,0.0,0.3484848484848485,0.3661616161616162,0.3881578947368421,0.3402777777777778,0.36174242424242425,0.371875
10,0.3686868686868687,0.4003712871287129,0.34595959595959597,0.34220297029702973,0.3853092783505155,0.3684895833333333,0.37004950495049505,0.3769736842105263,0.4100765306122449,0.3484848484848485,0.0,0.3756188118811881,0.3925,0.35546875,0.36742424242424243,0.3781887755102041
11,0.3217821782178218,0.3947704081632653,0.37875,0.371875,0.39232673267326734,0.3484848484848485,0.38853092783505155,0.37105263157894736,0.39221938775510207,0.3661616161616162,0.3756188118811881,0.0,0.38671875,0.3853092783505155,0.3446969696969697,0.3479381443298969
12,0.37755102040816324,0.401875,0.392578125,0.36625,0.38625,0.369949494949495,0.373046875,0.3848684210526316,0.3704896907216495,0.3881578947368421,0.3925,0.38671875,0.0,0.38573232323232326,0.39294554455445546,0.3904639175257732
13,0.3552295918367347,0.36328125,0.3484848484848485,0.3440721649484536,0.34438775510204084,0.343125,0.34119897959183676,0.34536082474226804,0.3756443298969072,0.3402777777777778,0.35546875,0.3853092783505155,0.38573232323232326,0.0,0.34375,0.36146907216494845
14,0.3427835051546392,0.38788659793814434,0.3405612244897959,0.37691326530612246,0.3828947368421053,0.3712871287128713,0.38337628865979384,0.3958333333333333,0.3903061224489796,0.36174242424242425,0.36742424242424243,0.3446969696969697,0.39294554455445546,0.34375,0.0,0.350625
15,0.3671052631578947,0.37898936170212766,0.3647959183673469,0.36223118279569894,0.34375,0.36533505154639173,0.361328125,0.3602941176470588,0.37373737373737376,0.371875,0.3781887755102041,0.3479381443298969,0.3904639175257732,0.36146907216494845,0.350625,0.0
